"DIA","MES","PERIODO","accidentes"
17,5,2017,119
18,5,2017,124
19,5,2017,142
20,5,2017,92
21,5,2017,73
22,5,2017,126
23,5,2017,135
24,5,2017,113
25,5,2017,111
26,5,2017,150
27,5,2017,101
28,5,2017,78
29,5,2017,82
30,5,2017,131
31,5,2017,142
1,6,2017,127
2,6,2017,128
3,6,2017,128
4,6,2017,66
5,6,2017,104
6,6,2017,122
7,6,2017,150
8,6,2017,113
9,6,2017,136
10,6,2017,132
11,6,2017,80
12,6,2017,114
13,6,2017,121
14,6,2017,146
15,6,2017,123
16,6,2017,122
17,6,2017,119
18,6,2017,92
19,6,2017,72
20,6,2017,106
21,6,2017,110
22,6,2017,120
23,6,2017,112
24,6,2017,93
25,6,2017,59
26,6,2017,70
27,6,2017,103
28,6,2017,119
29,6,2017,110
30,6,2017,127
1,7,2017,113
2,7,2017,62
3,7,2017,60
4,7,2017,117
5,7,2017,126
6,7,2017,104
7,7,2017,125
8,7,2017,129
9,7,2017,71
10,7,2017,112
11,7,2017,128
12,7,2017,111
13,7,2017,114
14,7,2017,141
15,7,2017,122
16,7,2017,80
17,7,2017,123
18,7,2017,139
19,7,2017,143
20,7,2017,71
21,7,2017,141
22,7,2017,100
23,7,2017,62
24,7,2017,139
25,7,2017,142
26,7,2017,131
27,7,2017,131
28,7,2017,133
29,7,2017,122
30,7,2017,70
31,7,2017,141
1,8,2017,151
2,8,2017,135
3,8,2017,127
4,8,2017,210
5,8,2017,112
6,8,2017,84
7,8,2017,87
8,8,2017,129
9,8,2017,156
10,8,2017,114
11,8,2017,138
12,8,2017,112
13,8,2017,78
14,8,2017,136
15,8,2017,126
16,8,2017,148
17,8,2017,147
18,8,2017,151
19,8,2017,120
20,8,2017,57
21,8,2017,78
22,8,2017,109
23,8,2017,125
24,8,2017,130
25,8,2017,119
26,8,2017,118
27,8,2017,75
28,8,2017,148
29,8,2017,141
30,8,2017,100
31,8,2017,96
1,9,2017,166
2,9,2017,106
3,9,2017,74
4,9,2017,133
5,9,2017,136
6,9,2017,160
7,9,2017,156
8,9,2017,116
9,9,2017,99
10,9,2017,64
11,9,2017,134
12,9,2017,128
13,9,2017,114
14,9,2017,139
15,9,2017,136
16,9,2017,118
17,9,2017,84
18,9,2017,155
19,9,2017,140
20,9,2017,107
21,9,2017,122
22,9,2017,129
23,9,2017,119
24,9,2017,66
25,9,2017,131
26,9,2017,115
27,9,2017,113
28,9,2017,112
29,9,2017,142
30,9,2017,135
1,10,2017,82
2,10,2017,167
3,10,2017,137
4,10,2017,120
5,10,2017,124
6,10,2017,122
7,10,2017,97
8,10,2017,68
9,10,2017,94
